387	2177355
915	2177357
912	2177358
119	2177359
1031	2177360
270	2177361
832	2177362
950	2177363
284	2177364
242	2177365
1428	2177366
1596	2177367
1157	2177368
584	2177369
1002	2177370
11	2177371
1193	2177372
898	2177373
139	2177374
294	2177375
1664	2177376
1294	2177377
1287	2177378
1774	2177379
1496	2177380
1797	2177381
1124	2177382
1464	2177383
1584	2177384
1555	2177385
320	2177386
728	2177387
1070	2177388
582	2177389
449	2177390
276	2177391
67	2177392
164	2177393
439	2177394
383	2177395
921	2177396
659	2177397
925	2177398
1598	2177399
118	2177400
41	2177401
1129	2177402
416	2177403
1686	2177404
313	2177405
1787	2177406
1687	2177407
627	2177408
980	2177409
141	2177410
65	2177411
458	2177412
930	2177413
61	2177414
1219	2177415
1605	2177416
1362	2177417
300	2177418
30	2177419
1325	2177420
1815	2177421
1611	2177422
121	2177423
496	2177424
619	2177425
444	2177426
71	2177427
517	2177428
963	2177430
1316	2177431
435	2177432
1841	2177433
1353	2177434
203	2177435
822	2177436
1210	2177437
133	2177439
1606	2177440
137	2177441
1230	2177442
1018	2177443
213	2177444
438	2177445
1062	2177446
1501	2177447
1186	2177448
878	2177449
1163	2177450
944	2177451
1212	2177452
198	2177453
1689	2177454
895	2177455
1706	2177456
801	2177457
1214	2177458
382	2177459
1063	2177460
1434	2177461
849	2177462
1205	2177463
1577	2177464
749	2177465
1436	2177466
1600	2177467
48	2177468
263	2177469
573	2177470
747	2177471
1250	2177472
1110	2177473
629	2177474
384	2177475
761	2177476
1566	2177477
631	2177478
1781	2177479
544	2177480
196	2177481
1599	2177482
151	2177483
929	2177484
1620	2177485
1285	2177486
1813	2177487
1470	2177488
445	2177489
1744	2177490
1087	2177491
1113	2177492
803	2177493
1579	2177494
1329	2177495
1405	2177496
278	2177497
298	2177498
1564	2177499
223	2177500
809	2177501
902	2177502
856	2177503
528	2177504
1624	2177505
535	2177506
634	2177507
424	2177508
1778	2177509
887	2177510
1746	2177511
1017	2177512
1699	2177513
46	2177514
1556	2177515
1254	2177516
735	2177517
1837	2177518
554	2177519
25	2177520
1190	2177521
1695	2177522
487	2177523
502	2177524
1105	2177525
1461	2177526
1009	2177527
1834	2177528
595	2177529
503	2177530
641	2177531
471	2177532
805	2177533
753	2177534
626	2177535
601	2177536
1373	2177537
711	2177538
776	2177539
1172	2177540
481	2177541
1818	2177542
291	2177543
1784	2177544
510	2177545
1657	2177546
1466	2177547
1796	2177548
1668	2177549
1107	2177550
448	2177551
1035	2177552
117	2177553
800	2177554
1666	2177555
426	2177556
181	2177557
1517	2177558
34	2177559
314	2177560
390	2177561
359	2177562
1530	2177563
896	2177564
290	2177565
886	2177566
175	2177567
519	2177568
1147	2177569
283	2177570
1588	2177571
1645	2177572
115	2177573
624	2177574
318	2177575
1374	2177576
1267	2177577
1582	2177578
1229	2177579
763	2177580
1300	2177581
468	2177582
1565	2177583
1656	2177584
325	2177585
182	2177586
972	2177587
429	2177588
1357	2177589
224	2177590
981	2177591
1226	2177592
807	2177593
443	2177594
1284	2177595
391	2177596
1177	2177597
499	2177598
598	2177599
